Question,Option A,Option B,Option C,Option D,,Type of paper,Marks,Course CO,blooms
The mindset of a successful blogger revolves around?,Creativity,Consistency,Randomness,Flexibility,1)             B,A,2,CO1,Apply
Successful content strategy relies on aspect?,Relevance to the target audience,Quantity of content,Length of content,Number of social media shares,2)             A,A,2,CO1,Apply
Finding the perfect niche involves identifying?,General audience interests,Specific audience needs,Popular trends,Competition in the market,3)             B,A,2,CO1,Apply
The WordPress editor is known for its?,Confusing interface,Intuitive design,Limited options,Slow performance,4)             B,A,2,CO1,Apply
WordPress pages and posts serve purposes:,Static and dynamic content,Both static content,Only dynamic content,Only static content,5)             A,A,2,CO1,Apply
Customizing your posts profile enhances?,User engagement,Decreases visibility,Brand consistency,Limits creativity,6)             A,A,2,CO1,Apply
Customizing your theme involves adjusting?,Only font size,"Colors, layout, and typography",Only font style,Background image only,7)             B,A,2,CO1,Apply
WordPress plugins extend functionality by?,Reducing website speed,Adding features and tools,Decreasing security,Limiting customization options,8)             B,A,2,CO1,Apply
The mindset of a successful blogger emphasizes?,Unpredictability,Consistency and adaptability,Indecision,Inconsistency,9)             B,A,2,CO1,Apply
Content strategy's success relies heavily on?,Understanding audience preferences,Ignoring audience preferences,Random content creation,Length of content,10)          A,A,2,CO1,Apply
Finding the perfect niche requires identifying?,General audience interests,Specific audience demands,Industry trends,Competition in the market,11)          B,A,2,CO2,Evaluate
Naming and branding your blog is crucial for?,Remaining anonymous,Creating a recognizable identity,Irrelevant branding,Random naming,12)          B,A,2,CO2,Evaluate
WordPress favored for blogging due to?,Complexity,Accessibility and wide range of themes,Limited customization,High cost,13)          B,A,2,CO2,Evaluate
WordPress pages and posts serve purposes:,Static and dynamic content,Only static content,Only dynamic content,No content,14)          A,A,2,CO2,Evaluate
Customizing your posts profile enhances?,Decreases engagement,Brand coherence and user engagement,Reduces visibility,Increases loading time,15)          B,A,2,CO2,Evaluate
Customizing your theme involves adjusting?,Only font color,"Colors, layout, and typography",Only font size,Background image only,16)          B,A,2,CO2,Evaluate
A successful blogger's mindset prioritizes?,Consistency and adaptability,Indecision,Randomness,Inconsistency,17)          A,A,2,CO2,Evaluate
Naming and branding your blog is essential for?,Establishing a memorable identity,Remaining anonymous,Unrelated branding,Random naming,18)          A,A,2,CO2,Evaluate
"Selecting a WordPress theme, what's most important?",Popularity among other bloggers,Visual appeal and functionality,High cost,Compatibility with your content niche,19)          B,A,2,CO2,Evaluate
Customizing your theme improves?,Decreases loading time,Enhances brand identity,Increases website security,Reduces content visibility,20)          B,A,2,CO2,Evaluate
